Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year
1,Gonzaga,36.48,126.4,89.9,73.8,0.022000000000000002,11.35,108.1,96.8,6.21,2021
2,Baylor,33.87,125.0,91.1,67.4,0.046,13.25,108.7,95.5,-2.83,2021
3,Michigan,29.67,117.6,87.9,66.6,0.006999999999999999,16.44,111.7,95.3,2.51,2021
4,Illinois,29.06,118.0,88.9,70.5,0.022000000000000002,18.17,112.3,94.1,10.44,2021
5,Houston,28.75,118.3,89.6,64.4,0.018000000000000002,9.21,105.7,96.5,2.11,2021
6,USC,27.58,115.7,88.1,67.0,0.001,16.27,111.1,94.8,6.28,2021
7,Iowa,26.87,123.5,96.7,69.9,-0.027000000000000003,16.41,110.4,94.0,-4.9,2021
8,Colorado,25.1,116.3,91.2,66.1,-0.025,15.43,110.3,94.9,3.82,2021
9,Alabama,25.09,112.9,87.8,73.3,0.02,14.8,110.1,95.3,9.45,2021
10,Loyola Chicago,24.32,111.3,87.0,63.7,-0.024,6.27,105.6,99.4,4.81,2021
11,Ohio St.,23.58,120.7,97.1,66.7,-0.012,17.9,111.6,93.7,3.47,2021
12,Villanova,23.02,119.0,96.0,64.2,-0.006999999999999999,13.66,109.3,95.7,8.12,2021
13,UCLA ,22.43,116.9,94.5,63.8,0.027999999999999997,17.38,111.3,93.9,9.87,2021
14,Wisconsin,22.4,113.0,90.6,64.6,-0.052000000000000005,18.13,112.1,93.9,1.24,2021
15,Florida St.,22.12,114.9,92.8,69.9,0.002,13.48,109.5,96.0,4.42,2021
16,Oregon,21.85,117.2,95.4,67.2,0.049,15.2,110.6,95.4,3.72,2021
17,Texas Tech,21.81,112.7,90.9,65.1,-0.099,12.84,108.5,95.7,-4.88,2021
18,Arkansas,21.56,111.1,89.6,72.6,0.064,12.69,109.4,96.7,-4.09,2021
19,Virginia,21.42,114.7,93.3,59.9,0.025,12.05,109.8,97.8,0.24,2021
20,BYU,21.12,113.7,92.5,67.6,0.037000000000000005,12.31,109.1,96.8,10.05,2021
21,Connecticut,20.61,113.1,92.5,65.5,-0.068,12.99,108.2,95.2,-1.27,2021
22,Creighton,20.59,113.4,92.8,68.7,0.017,13.19,108.8,95.6,-0.73,2021
23,West Virginia,20.51,116.8,96.3,69.2,-0.055999999999999994,15.18,109.6,94.4,13.77,2021
24,LSU,20.35,120.1,99.8,70.6,-0.006999999999999999,14.77,108.7,93.9,1.13,2021
25,Purdue,20.33,113.3,92.9,66.1,0.01,16.61,111.2,94.6,5.71,2021
26,Texas,20.31,113.1,92.8,68.6,-0.004,14.52,109.2,94.7,8.2,2021
27,Kansas,19.98,110.1,90.2,68.2,0.07,15.83,110.7,94.8,10.43,2021
28,Tennessee,19.95,108.0,88.1,67.1,-0.013000000000000001,13.11,108.9,95.8,-0.34,2021
29,Arizona,19.92,115.6,95.7,67.7,-0.017,13.38,109.3,95.9,-4.01,2021
30,San Diego St.,19.88,111.0,91.1,65.5,0.027000000000000003,7.22,106.4,99.2,13.66,2021
31,Memphis,19.11,105.5,86.4,71.3,-0.068,8.72,105.9,97.2,1.45,2021
32,St. Bonaventure,19.04,110.0,91.0,64.8,0.016,8.53,106.6,98.0,2.44,2021
33,Oklahoma St.,18.95,109.6,90.7,72.4,0.038,15.52,111.1,95.6,5.81,2021
34,North Carolina,18.62,110.3,91.7,71.5,-0.005,14.79,110.9,96.1,8.2,2021
35,Maryland ,17.63,111.8,94.1,64.7,-0.024,17.1,110.2,93.1,-1.11,2021
36,Duke,17.56,114.5,97.0,68.5,-0.109,12.27,109.1,96.8,5.59,2021
37,Georgia Tech,17.5,113.7,96.2,67.3,-0.005,12.7,108.7,96.0,-0.96,2021
