Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year,TeamID,WTeamID,WScore,AdjEM_x,AdjO_x,AdjD_x,AdjT_x,Luck_x,SOS_AdjEM_x,SOS_OppO_x,SOS_OppD_x,NCSOS_AdjEM_x,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LTeamID,LScore,AdjEM_y,AdjO_y,AdjD_y,AdjT_y,Luck_y,SOS_AdjEM_y,SOS_OppO_y,SOS_OppD_y,NCSOS_AdjEM_y,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
1,villanova,33.76,127.8,94.0,68.7,-0.018000000000000002,11.31,111.3,100.0,3.98,2018,1437.0,1437,87.93333333333334,33.76,127.80000000000005,94.0,68.70000000000003,-0.018000000000000013,11.31,111.30000000000004,100.0,3.9800000000000013,31.1,60.96666666666667,11.766666666666667,28.266666666666666,13.966666666666667,18.066666666666666,9.566666666666666,26.266666666666666,17.166666666666668,10.366666666666667,6.866666666666666,4.033333333333333,15.3,1286.2666666666667,68.83333333333333,10.136666666666667,111.09999999999997,100.98333333333332,68.97333333333333,-0.006599999999999998,6.022333333333334,108.53666666666669,102.53,-0.27799999999999997,25.733333333333334,60.233333333333334,6.566666666666666,21.166666666666668,10.8,14.366666666666667,9.766666666666667,22.4,13.666666666666666,13.233333333333333,4.466666666666667,2.566666666666667,17.366666666666667
2,virginia,29.53,115.2,85.6,59.4,0.048,9.24,110.0,100.7,-0.08,2018,1438.0,1438,68.0,29.52999999999998,115.19999999999993,85.59999999999995,59.400000000000034,0.04800000000000002,9.240000000000004,110.0,100.69999999999996,-0.08000000000000003,25.322580645161292,54.225806451612904,7.193548387096774,18.129032258064516,10.161290322580646,13.387096774193548,8.419354838709678,24.322580645161292,13.806451612903226,8.548387096774194,6.870967741935484,3.774193548387097,14.064516129032258,1292.0,52.67741935483871,10.481290322580646,110.51612903225805,100.04193548387096,68.44193548387098,-0.01203225806451613,5.8909677419354844,108.13225806451611,102.23225806451612,-0.5451612903225806,18.64516129032258,50.12903225806452,5.870967741935484,19.870967741935484,9.516129032258064,13.129032258064516,8.548387096774194,21.806451612903224,8.580645161290322,12.903225806451612,3.806451612903226,2.6774193548387095,15.0
3,duke,28.86,122.4,93.6,69.7,-0.034,10.6,110.4,99.8,4.09,2018,1181.0,1181,86.08,28.86000000000001,122.40000000000005,93.59999999999997,69.70000000000003,-0.03400000000000002,10.599999999999998,110.40000000000005,99.8,4.0900000000000025,30.88,62.32,8.48,21.72,15.84,22.72,13.68,28.72,18.04,11.92,8.32,5.56,15.04,1306.88,67.16,9.643999999999998,109.42400000000002,99.79199999999999,67.68800000000002,-0.015360000000000002,5.806,108.064,102.24799999999999,-1.192,25.04,63.72,7.44,23.64,9.64,13.52,11.48,21.16,14.08,12.8,5.32,2.84,18.76
4,cincinnati,26.6,113.4,86.8,64.5,-0.019,3.46,106.9,103.4,-4.21,2018,1153.0,1153,75.34482758620689,26.600000000000016,113.40000000000006,86.80000000000001,64.5,-0.019000000000000006,3.459999999999998,106.90000000000006,103.40000000000006,-4.209999999999997,26.655172413793103,58.44827586206897,7.586206896551724,20.655172413793103,14.448275862068966,21.103448275862068,13.413793103448276,26.75862068965517,16.896551724137932,11.03448275862069,7.103448275862069,5.551724137931035,15.379310344827585,1312.0,55.03448275862069,2.024137931034483,105.7344827586207,103.71034482758624,68.0103448275862,0.02282758620689655,1.5410344827586209,105.45517241379311,103.9103448275862,-0.5310344827586206,19.620689655172413,55.10344827586207,6.241379310344827,21.06896551724138,9.551724137931034,14.241379310344827,10.448275862068966,20.79310344827586,9.758620689655173,14.482758620689655,4.896551724137931,2.7586206896551726,18.310344827586206
5,purdue,26.27,122.7,96.4,67.2,0.006,9.02,109.1,100.1,0.69,2018,1345.0,1345,84.42857142857143,26.26999999999999,122.69999999999995,96.40000000000005,67.20000000000003,0.006000000000000003,9.020000000000003,109.09999999999994,100.09999999999995,0.6899999999999998,29.357142857142858,57.0,10.214285714285714,23.178571428571427,15.5,21.0,8.642857142857142,26.357142857142858,17.607142857142858,10.464285714285714,6.214285714285714,5.464285714285714,15.214285714285714,1277.8214285714287,64.75,7.418571428571428,108.28214285714286,100.88928571428569,67.76428571428572,-0.013571428571428571,5.517142857142857,108.06071428571428,102.54285714285713,-3.0632142857142854,24.214285714285715,59.92857142857143,7.071428571428571,20.892857142857142,9.25,13.571428571428571,10.75,21.0,11.321428571428571,12.714285714285714,5.071428571428571,2.2857142857142856,18.785714285714285
6,michigan st.,25.41,119.2,93.8,67.0,0.038,6.64,108.6,101.9,-5.03,2018,1277.0,1277,82.44827586206897,25.41,119.19999999999995,93.80000000000003,67.0,0.03800000000000001,6.639999999999995,108.59999999999994,101.90000000000005,-5.03,29.103448275862068,56.6551724137931,8.655172413793103,20.103448275862068,15.586206896551724,20.862068965517242,11.241379310344827,30.517241379310345,19.896551724137932,13.10344827586207,4.275862068965517,7.620689655172414,17.551724137931036,1301.3793103448277,62.51724137931034,5.493793103448276,108.22068965517241,102.75172413793102,68.40344827586208,-0.022448275862068965,5.2396551724137925,107.7655172413793,102.52758620689654,-0.4665517241379309,21.724137931034484,61.10344827586207,7.206896551724138,22.137931034482758,11.862068965517242,16.344827586206897,10.793103448275861,18.82758620689655,11.862068965517242,10.275862068965518,5.862068965517241,2.310344827586207,19.96551724137931
7,michigan,24.2,114.7,90.5,64.9,0.052000000000000005,10.32,111.4,101.1,-4.83,2018,1276.0,1276,75.37037037037037,24.200000000000003,114.69999999999995,90.5,64.90000000000003,0.05200000000000003,10.319999999999995,111.40000000000006,101.09999999999997,-4.829999999999999,27.037037037037038,57.25925925925926,9.222222222222221,24.814814814814813,12.074074074074074,18.296296296296298,8.0,26.11111111111111,15.296296296296296,9.074074074074074,6.518518518518518,3.2962962962962963,15.222222222222221,1296.111111111111,60.407407407407405,6.691851851851852,109.55185185185184,102.86666666666667,67.9037037037037,-0.02159259259259259,4.887037037037037,107.48888888888888,102.6,-1.7529629629629628,22.296296296296298,54.48148148148148,4.962962962962963,15.962962962962964,10.851851851851851,15.25925925925926,8.11111111111111,25.037037037037038,9.222222222222221,13.62962962962963,3.814814814814815,3.037037037037037,18.296296296296298
8,north carolina,23.59,120.3,96.7,71.2,-0.011,13.26,111.6,98.3,7.58,2018,1314.0,1314,86.68,23.589999999999996,120.30000000000004,96.7,71.20000000000003,-0.011000000000000003,13.259999999999996,111.59999999999995,98.3,7.580000000000004,31.84,66.36,8.32,21.76,14.68,19.56,14.4,29.72,19.76,11.64,5.8,4.48,15.4,1289.16,71.28,11.941199999999998,110.852,98.93199999999997,67.35200000000003,-0.004440000000000001,7.1092,108.85600000000002,101.75200000000001,-0.4627999999999998,25.8,62.8,9.32,25.4,10.36,15.48,9.64,21.44,14.24,11.6,6.12,4.68,18.6
9,kansas,23.49,120.9,97.4,68.8,0.076,12.41,111.7,99.3,3.55,2018,1242.0,1242,83.74074074074075,23.490000000000006,120.90000000000006,97.40000000000003,68.79999999999997,0.07600000000000001,12.410000000000004,111.69999999999997,99.30000000000001,3.549999999999998,30.703703703703702,60.0,10.703703703703704,24.74074074074074,11.62962962962963,16.48148148148148,9.11111111111111,26.703703703703702,17.40740740740741,11.185185185185185,6.851851851851852,4.518518518518518,14.555555555555555,1342.9259259259259,67.66666666666667,12.115185185185185,111.53333333333333,99.42222222222225,68.27407407407408,0.00507407407407407,7.310740740740742,109.12592592592593,101.8,-0.40962962962962984,25.11111111111111,62.25925925925926,7.222222222222222,23.814814814814813,10.222222222222221,14.25925925925926,12.11111111111111,22.59259259259259,12.11111111111111,13.11111111111111,5.074074074074074,3.4814814814814814,17.074074074074073
10,gonzaga,23.03,118.1,95.1,69.4,0.009000000000000001,1.57,106.4,104.8,3.12,2018,1211.0,1211,85.16666666666667,23.029999999999983,118.09999999999994,95.09999999999995,69.40000000000003,0.009000000000000006,1.57,106.40000000000006,104.80000000000004,3.1200000000000006,31.066666666666666,61.13333333333333,9.266666666666667,24.066666666666666,13.766666666666667,19.1,11.233333333333333,29.233333333333334,15.9,11.0,6.666666666666667,3.466666666666667,16.633333333333333,1310.8333333333333,64.56666666666666,-0.787666666666667,105.08999999999999,105.87999999999998,67.41333333333334,0.004433333333333333,0.6033333333333332,105.76666666666671,105.16333333333334,-0.04633333333333305,23.0,58.1,7.0,20.533333333333335,11.566666666666666,16.166666666666668,8.333333333333334,21.966666666666665,10.3,12.5,5.0,2.6,18.066666666666666
